|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|embedding|cluster
1025|1025|0607aacedf|1|969|100.0|green|Cross Docking|new|not refubirshed|HABERDASHERY|no|0.1|reputation: green; products: 1; stock: 969; priceproduct: 0.1; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: HABERDASHERY; regularprice: no; Cluster:1|59|"[ 0.00525282  0.00375365  0.03521303 ... -0.01560508  0.02576564
 -0.01131848]"|1
1026|1026|0609463678|2|33|1598.0|green_silver|Cross Docking|new|not refubirshed|CONSTRUCTION|no|48.42|reputation: green_silver; products: 2; stock: 33; priceproduct: 48.42; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: CONSTRUCTION; regularprice: no; Cluster:1|56|"[ 0.00463237 -0.01788087  0.02237689 ... -0.00941215  0.01134322
  0.02735936]"|1
1027|1027|060a7ca3cc|2|3|4770.5|green|FulfilledbyMerchant,Cross Docking|new|not refubirshed|ACC CARS & VANS|yes,no|1590.17|reputation: green; products: 2; stock: 3; priceproduct: 1590.17; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: ACC CARS & VANS; regularprice: yes,no; Cluster:1|65|"[-0.00947858 -0.00344995  0.02141375 ...  0.00265452  0.01589383
  0.02175412]"|1
1028|1028|060b13e3e2|1|12|243.18|green|FulfilledbyMerchant|new|not refubirshed|PARTY|no|20.26|reputation: green; products: 1; stock: 12; priceproduct: 20.26; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: PARTY; regularprice: no; Cluster:3|54|"[ 0.00115857  0.00272315 -0.00254027 ... -0.0034364   0.02368721
  0.00165328]"|3
1029|1029|060b528804|2|78|910.04|green_gold|FulfilledbyMerchant|new|not refubirshed|LIGHTING|yes,no|11.67|reputation: green_gold; products: 2; stock: 78; priceproduct: 11.67; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; Categories: LIGHTING; regularprice: yes,no; Cluster:3|57|"[-0.00707096 -0.01220843  0.01786816 ... -0.01902382  0.02607626
  0.012364  ]"|3
1030|1030|0611e8b4c2|1|1|800.0|newbie|Cross Docking|used|not refubirshed|BABY|no|800.0|reputation: newbie; products: 1; stock: 1; priceproduct: 800.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; Categories: BABY; regularprice: no; Cluster:2|54|"[-0.0087686  -0.00327518 -0.01643367 ...  0.0151661   0.01873021
  0.01540471]"|2
1031|1031|0613b18af0|18|18|8701.0|red|DropShipping|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|483.39|reputation: red; products: 18; stock: 18; priceproduct: 483.39; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; Categories: BOOKS, MULTIMEDIA & OTHER E!; regularprice: no; Cluster:3|61|"[ 0.00020134  0.00877743 -0.00023905 ... -0.00228587  0.03026908
  0.00414967]"|3
1032|1032|0613d075ca|1|1784|459.0|green|Cross Docking|new|not refubirshed|STATIONERY|no|0.26|reputation: green; products: 1; stock: 1784; priceproduct: 0.26; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: STATIONERY; regularprice: no; Cluster:1|56|"[ 0.00086848 -0.00314577  0.0362533  ... -0.0076041   0.01616146
  0.02991777]"|1
1033|1033|06145ab675|10|14|3747.89|green|Cross Docking|used,new|not refubirshed|HOUSEHOLD ITEMS,TOYS AND GAMES,ANTIQUES & HOBBIES|no|267.71|reputation: green; products: 10; stock: 14; priceproduct: 267.71; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used,new; Categories: HOUSEHOLD ITEMS,TOYS AND GAMES,ANTIQUES & HOBBIES; regularprice: no; Cluster:1|71|"[ 0.01360017  0.01216896  0.03225682 ... -0.0029369   0.02779608
  0.0037415 ]"|1
1034|1034|061466b33f|2|12|795.0|green_silver|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES|no|66.25|reputation: green_silver; products: 2; stock: 12; priceproduct: 66.25; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; Categories: APPAREL ACCESSORIES; regularprice: no; Cluster:1|59|"[ 0.02143891 -0.0041491   0.02396744 ... -0.00750132  0.03028111
  0.02234305]"|1
