|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|totalcat|embedding|cluster
1433|1433|084080b3c5|1|9|487.0|green|Cross Docking|new|not refubirshed|DECOR|no|54.11|reputation: green; products: 1; stock: 9; priceproduct: 54.11; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00124788  0.00391058  0.02820041 ... -0.00998303  0.02061537
  0.01748691]"|1
1434|1434|0840c11f96|1|1|6699.0|newbie|DropShipping|new|not refubirshed|ANTIQUES & HOBBIES|no|6699.0|reputation: newbie; products: 1; stock: 1; priceproduct: 6699.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[ 0.00465998 -0.00516506 -0.02012936 ...  0.00785266  0.02201695
  0.0032701 ]"|2
1435|1435|0840cab2c8|2|125|1360.88|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS,FURNITURE|yes|10.89|reputation: green_platinum; products: 2; stock: 125; priceproduct: 10.89; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes; Cluster:0|62|2|"[ 0.00962463 -0.00957167  0.00961707 ... -0.0094733   0.01843208
  0.02238182]"|0
1436|1436|08412a39c8|12|80|9445.0|green_gold|Cross Docking|new|not refubirshed|DECOR|no|118.06|reputation: green_gold; products: 12; stock: 80; priceproduct: 118.06; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|56|1|"[-0.00704698  0.00108689  0.03646256 ... -0.00928834  0.0400968
  0.01537795]"|1
1437|1437|0842f51a7b|2|152|1682.0|green_gold|Cross Docking|new|not refubirshed|FOODS|no|11.07|reputation: green_gold; products: 2; stock: 152; priceproduct: 11.07; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|56|1|"[-0.00865661 -0.00949655  0.03883369 ... -0.00881552  0.03208395
  0.01602684]"|1
1438|1438|084561da05|1|2|1500.0|newbie|Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS|no|750.0|reputation: newbie; products: 1; stock: 2; priceproduct: 750.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-1.89816114e-02 -1.98447541e-03 -4.88109328e-03 ... -4.22560879e-06
  1.70517880e-02  1.11115547e-02]"|2
1439|1439|0845e2598b|1|32|405.0|green_gold|FulfilledbyMerchant|new|not refubirshed|TOOLS|yes|12.66|reputation: green_gold; products: 1; stock: 32; priceproduct: 12.66; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|57|1|"[-0.00346    -0.00411825  0.02373431 ... -0.00906165  0.03396617
  0.00782392]"|3
1440|1440|0847dfa1f6|3|3|6647.0|yellow|Cross Docking|new|not refubirshed|ACC VEHICULAR MULTIMEDIA|no|2215.67|reputation: yellow; products: 3; stock: 3; priceproduct: 2215.67; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|56|1|"[-0.02331153 -0.0032831   0.00789294 ...  0.00394647  0.03259118
  0.01673034]"|1
1441|1441|084908010b|1|1500|49.0|green|Cross Docking|new|not refubirshed|PARTY|no|0.03|reputation: green; products: 1; stock: 1500; priceproduct: 0.03; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|56|1|"[-0.00179947 -0.00335864  0.03215211 ... -0.00973343  0.02649067
  0.02279712]"|1
1442|1442|084b5a3e57|1|34|261.88|green_platinum|FulfilledbyMerchant|new|not refubirshed|SPORTS|yes|7.7|reputation: green_platinum; products: 1; stock: 34; priceproduct: 7.7; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:0|58|1|"[-0.00011344 -0.00726032 -0.00397795 ... -0.00392531  0.02514605
  0.01296405]"|0
1443|1443|084ba13705|1|867|240.0|red|Cross Docking|new|not refubirshed|FOODS|no|0.28|reputation: red; products: 1; stock: 867; priceproduct: 0.28; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00890854 -0.00796643  0.02000275 ...  0.00605961  0.01905311
  0.01337034]"|1
