|Unnamed: 0|seller_nickname|products|stock|price|seller_reputation|Lt|condition|isrefu|category_id|regular_price1|pxp|mix|tokens|totalcat|embedding|cluster
281|281|01b2e70fd2|16|166|12122.0|green_platinum|Cross Docking|new|not refubirshed|TEXTILES|no|73.02|reputation: green_platinum; products: 16; stock: 166; priceproduct: 73.02; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:0|57|1|"[ 0.01353407 -0.00353891  0.02481863 ... -0.0128163   0.02030481
  0.02782292]"|0
282|282|01b5527369|5|384|944.9|green_silver|FulfilledbyMerchant,Cross Docking|new|not refubirshed|TELEVISIONS & STREAMING DEVICES,HOUSEHOLD APPLIANCES,SMARTPHONES & TABLETS,HOUSEHOLD ITEMS,HEALTH|yes,no|2.46|reputation: green_silver; products: 5; stock: 384; priceproduct: 2.46; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 5; regularprice: yes,no; Cluster:3|63|5|"[-0.00335641 -0.00404895 -0.00404515 ... -0.00990417  0.01880655
  0.01531542]"|3
283|283|01b6f3d48c|1|1|7299.0|newbie|DropShipping|new|not refubirshed|TELEVISIONS & STREAMING DEVICES|no|7299.0|reputation: newbie; products: 1; stock: 1; priceproduct: 7299.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-0.00204845 -0.01249629 -0.02393531 ...  0.00031273  0.02046983
  0.00256791]"|2
284|284|01b7838433|4|55|2063.0|green_platinum|Cross Docking|new|not refubirshed|ACC CARS & VANS|no|37.51|reputation: green_platinum; products: 4; stock: 55; priceproduct: 37.51; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:0|57|1|"[ 0.00547796 -0.00863374  0.01365768 ... -0.0124817   0.02219466
  0.02740467]"|0
285|285|01b7abe78c|7|20|4712.0|newbie|DropShipping|used,new|not refubirshed|ANTIQUES & HOBBIES|no|235.6|reputation: newbie; products: 7; stock: 20; priceproduct: 235.6; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: used,new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-0.01028322 -0.00174036 -0.02284672 ...  0.00191303  0.02141424
  0.00822219]"|2
286|286|01b8bd07c1|1|662|263.01|green|DropShipping|new|not refubirshed|BEAUTY PERSONAL CARE|yes|0.4|reputation: green; products: 1; stock: 662; priceproduct: 0.4; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|54|1|"[ 0.01676921  0.0025749   0.01240685 ... -0.01149741  0.02104285
  0.00850291]"|3
287|287|01b8d0d3d6|1|16|210.0|green|Cross Docking|new|not refubirshed|HEALTH|no|13.12|reputation: green; products: 1; stock: 16; priceproduct: 13.12; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[ 0.00454788  0.00858118  0.02797579 ... -0.00961758  0.02209073
  0.02264155]"|1
288|288|01ba5e24de|1|8|579.89|green_gold|FulfilledbyMerchant|new|not refubirshed|ANTIQUES & HOBBIES|no|72.49|reputation: green_gold; products: 1; stock: 8; priceproduct: 72.49; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:3|57|1|"[-0.01162295 -0.00127747  0.01820353 ... -0.01122526  0.0328654
  0.01079006]"|3
289|289|01bc636106|1|7|545.3|green_gold|Cross Docking|new|not refubirshed|AUDIO & GENERAL ELECTRONICS|yes|77.9|reputation: green_gold; products: 1; stock: 7; priceproduct: 77.9; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:1|56|1|"[-0.02389259  0.00559674  0.02361883 ... -0.01316297  0.02760346
  0.01058513]"|1
290|290|01bdbfd04b|1|7|11981.0|newbie|Other|new|not refubirshed|FURNITURE|no|1711.57|reputation: newbie; products: 1; stock: 7; priceproduct: 1711.57; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|54|1|"[-0.03160018 -0.01168877 -0.00721733 ...  0.0076037   0.01926621
  0.007765  ]"|2
291|291|01be0535df|2|237|1508.0|green|Cross Docking|new|not refubirshed|SPORTS|no|6.36|reputation: green; products: 2; stock: 237; priceproduct: 6.36; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.0041437   0.00203293  0.02965081 ... -0.00924364  0.01693061
  0.02429884]"|1
292|292|01be863406|9|169|7472.0|green_platinum|Cross Docking|new|not refubirshed|FRAGRANCES & MAKE UP,BEAUTY PROFESSIONAL,HAIR|no|44.21|reputation: green_platinum; products: 9; stock: 169; priceproduct: 44.21; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: no; Cluster:0|57|3|"[ 0.00462329 -0.00853072  0.0215505  ... -0.00359424  0.02648698
  0.02683   ]"|0
293|293|01c5abb726|1|2|500.0|green_gold|Cross Docking|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES|no|250.0|reputation: green_gold; products: 1; stock: 2; priceproduct: 250.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:1|56|2|"[-0.01269494 -0.00053208  0.0331837  ... -0.01056663  0.03279401
  0.0108514 ]"|1
294|294|01c8c26212|1|28|282.09|green_gold|FulfilledbyMerchant|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES|yes|10.07|reputation: green_gold; products: 1; stock: 28; priceproduct: 10.07; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes; Cluster:3|57|2|"[-0.01885069 -0.00581458  0.01697477 ... -0.01112587  0.03541368
  0.00424369]"|3
295|295|01ca69028c|1|83|100.0|green|Cross Docking|new|not refubirshed|HOUSEHOLD ITEMS|no|1.2|reputation: green; products: 1; stock: 83; priceproduct: 1.2; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[ 0.00106238  0.00761983  0.01903493 ... -0.0082939   0.01654383
  0.02290346]"|1
296|296|01cac01fe7|9|10802|4193.51|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|LIGHTING|yes|0.39|reputation: green_platinum; products: 9; stock: 10802; priceproduct: 0.39; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:0|63|1|"[ 0.00578929 -0.01425462  0.01439784 ... -0.00935483  0.01970469
  0.02225258]"|0
297|297|01cb55f725|1|84|1590.0|yellow|Cross Docking|new|not refubirshed|ACC CARS & VANS|no|18.93|reputation: yellow; products: 1; stock: 84; priceproduct: 18.93; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.02067078  0.00324656  0.00244609 ... -0.00572616  0.03234649
  0.01617325]"|1
298|298|01cd4c033b|3|14|4736.29|yellow|Cross Docking|new|not refubirshed|HEALTH|yes,no|338.31|reputation: yellow; products: 3; stock: 14; priceproduct: 338.31; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes,no; Cluster:1|56|1|"[-0.02852626 -0.00539088  0.01032407 ...  0.00277797  0.03685454
  0.02046808]"|1
299|299|01cde55dae|3|7|29350.0|green|Other,Cross Docking|used,new|not refubirshed|FURNITURE|no|4192.86|reputation: green; products: 3; stock: 7; priceproduct: 4192.86; logistictype: Other,Cross Docking; refurbished: not refubirshed; conditionproduct: used,new; totalCategories: 1; regularprice: no; Cluster:1|59|1|"[-0.01340172  0.00027027  0.03217005 ...  0.0017824   0.02177688
  0.0249998 ]"|1
300|300|01ce225cb6|2|6|11800.0|newbie|Other|new|not refubirshed|PET|no|1966.67|reputation: newbie; products: 2; stock: 6; priceproduct: 1966.67; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|54|1|"[-0.01237102 -0.01059601 -0.01104362 ...  0.01938615  0.02455682
  0.00833481]"|2
301|301|01ce7ad240|8|84|3648.98|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES,STATIONERY,HOUSEHOLD APPLIANCES,SMARTPHONES & TABLETS,TOOLS,HOUSEHOLD ITEMS,HABERDASHERY|yes|43.44|reputation: green_platinum; products: 8; stock: 84; priceproduct: 43.44; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 8; regularprice: yes; Cluster:0|62|8|"[ 0.00656237 -0.00349444  0.01055068 ... -0.01092481  0.01682122
  0.03023031]"|0
302|302|01cf794634|4|709|3219.6|green|Cross Docking|new|not refubirshed|FOOTWEAR|yes|4.54|reputation: green; products: 4; stock: 709; priceproduct: 4.54; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:1|55|1|"[-0.0143377   0.00427879  0.02104865 ... -0.01204818  0.02442664
  0.01291895]"|1
303|303|01d39e03db|5|179|3000.51|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|BEAUTY PERSONAL CARE,APPAREL ACCESSORIES,CPG HOME CARE,DECOR|yes,no|16.76|reputation: green_platinum; products: 5; stock: 179; priceproduct: 16.76; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 4; regularprice: yes,no; Cluster:0|63|4|"[ 5.34290797e-04 -8.56992920e-05  4.49749874e-03 ... -9.53212567e-03
  2.16969326e-02  1.94727704e-02]"|0
304|304|01d5285c8c|1|36|175.0|green|Cross Docking|new|not refubirshed|PARTY|no|4.86|reputation: green; products: 1; stock: 36; priceproduct: 4.86; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00898925  0.00555875  0.02594084 ... -0.00837905  0.02187782
  0.0187673 ]"|1
305|305|01d5e23081|1|1|2900.0|red|Cross Docking|used|not refubirshed|GAMING|no|2900.0|reputation: red; products: 1; stock: 1; priceproduct: 2900.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:1|56|1|"[-0.0255001  -0.00158806  0.01776497 ...  0.01017421  0.01936063
  0.00936878]"|1
306|306|01d788baa6|1|51|391.14|green|FulfilledbyMerchant|new|not refubirshed|APPAREL ACCESSORIES|yes|7.67|reputation: green; products: 1; stock: 51; priceproduct: 7.67; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|56|1|"[-0.01172466 -0.00037032  0.00903376 ... -0.00770309  0.02186731
  0.0070895 ]"|3
307|307|01dae3970b|3|22|1637.0|green_silver|Cross Docking|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|74.41|reputation: green_silver; products: 3; stock: 22; priceproduct: 74.41; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:1|57|2|"[-0.00388489 -0.01273882  0.01683452 ... -0.00865065  0.0162021
  0.02641123]"|1
308|308|01dbe5cee2|7|323|2833.66|green_platinum|Cross Docking|new|not refubirshed|HEALTH|yes,no|8.77|reputation: green_platinum; products: 7; stock: 323; priceproduct: 8.77; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes,no; Cluster:0|58|1|"[-0.0026925  -0.0050428   0.0096569  ... -0.00529475  0.02713559
  0.02375116]"|0
309|309|01de3a4b77|1|3|649.0|green|Cross Docking|new|not refubirshed|TOYS AND GAMES|no|216.33|reputation: green; products: 1; stock: 3; priceproduct: 216.33; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00193488  0.00271144  0.02523729 ... -0.00671902  0.02236197
  0.02088706]"|1
310|310|01df8f690c|1|1|2351.0|yellow|Other|new|not refubirshed|ACC CARS & VANS|no|2351.0|reputation: yellow; products: 1; stock: 1; priceproduct: 2351.0; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|54|1|"[-0.02696942 -0.00955821  0.00013299 ...  0.0036236   0.03652764
  0.00538491]"|1
311|311|01e06471e5|2|2|411.3|light_green|Cross Docking|new|not refubirshed|ANTIQUES & HOBBIES|yes|205.65|reputation: light_green; products: 2; stock: 2; priceproduct: 205.65; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:1|56|1|"[-0.00257279 -0.01440465  0.01614095 ... -0.00709054  0.01356257
  0.02363763]"|1
312|312|01e0b3ae1a|2|2|350.0|orange|Cross Docking|new|not refubirshed|SPORTS,TOYS AND GAMES|no|175.0|reputation: orange; products: 2; stock: 2; priceproduct: 175.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:1|55|2|"[-0.02458751  0.0032348   0.00231979 ...  0.00119312  0.00384607
  0.01848239]"|1
313|313|01e4880b5f|1|0|580.0|newbie|Cross Docking|new|not refubirshed|GAMING|no|inf|reputation: newbie; products: 1; stock: 0; priceproduct: inf; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|52|1|"[-0.01740644  0.00052175 -0.00868102 ...  0.00253474  0.01252938
  0.0212252 ]"|2
314|314|01e4c7a74a|1|20|341.01|newbie|Cross Docking|new|not refubirshed|AUDIO & GENERAL ELECTRONICS|no|17.05|reputation: newbie; products: 1; stock: 20; priceproduct: 17.05; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-0.01644165 -0.00236461 -0.00310531 ... -0.00181424  0.0188869
  0.0074295 ]"|2
315|315|01e57609e7|1|11|598.59|green|FulfilledbyMerchant|new|not refubirshed|ACC CARS & VANS|no|54.42|reputation: green; products: 1; stock: 11; priceproduct: 54.42; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:3|56|1|"[-0.00962552 -0.001808    0.01265047 ... -0.00814241  0.02287804
  0.01143902]"|3
316|316|01e597f230|1|5|2350.0|newbie|Cross Docking|new|not refubirshed|AUDIO & GENERAL ELECTRONICS|no|470.0|reputation: newbie; products: 1; stock: 5; priceproduct: 470.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-0.02240712 -0.00131298 -0.01606464 ...  0.00073279  0.01993564
  0.01061547]"|2
317|317|01e85133cf|2|2|1698.0|green|Cross Docking|used|not refubirshed|HEALTH|no|849.0|reputation: green; products: 2; stock: 2; priceproduct: 849.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.01164555  0.00175124  0.02558203 ... -0.00931057  0.01353263
  0.01656517]"|1
318|318|01e8b6f6bf|1|15|130.94|green_silver|FulfilledbyMerchant|new|not refubirshed|SMARTPHONES & TABLETS|yes|8.73|reputation: green_silver; products: 1; stock: 15; priceproduct: 8.73; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|58|1|"[-0.00459023 -0.00762528 -0.00258883 ... -0.00714705  0.02209635
  0.01471584]"|3
319|319|01e970c464|6|135|1909.75|green|FulfilledbyMerchant,Cross Docking|new|not refubirshed|PARTY,APPAREL,APPAREL ACCESSORIES|yes,no|14.15|reputation: green; products: 6; stock: 135; priceproduct: 14.15; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: yes,no; Cluster:3|61|3|"[ 0.00189632  0.01012613  0.02383843 ... -0.00320859  0.0247759
  0.0150069 ]"|3
320|320|01e97da649|2|99|1357.21|green|Cross Docking|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|yes,no|13.71|reputation: green; products: 2; stock: 99; priceproduct: 13.71; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes,no; Cluster:1|56|2|"[-0.00664924 -0.00166513  0.02670228 ... -0.01123     0.02336262
  0.02017339]"|1
321|321|01e9b309b6|1|81|336.33|green_gold|FulfilledbyMerchant|new|not refubirshed|SPORTS|yes|4.15|reputation: green_gold; products: 1; stock: 81; priceproduct: 4.15; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|57|1|"[-0.0127922  -0.00457243  0.01671251 ... -0.01256472  0.03064972
  0.0037933 ]"|3
322|322|01ecbcd8d1|71|232|44053.0|green|Cross Docking|new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!,STATIONERY,TOYS AND GAMES|no|189.88|reputation: green; products: 71; stock: 232; priceproduct: 189.88; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 4; regularprice: no; Cluster:1|55|4|"[-0.01767584  0.00376244  0.02578471 ... -0.01007285  0.01525062
  0.02962341]"|1
323|323|01ede5b067|2|2|1100.0|newbie|Cross Docking|used|not refubirshed|FOOTWEAR|no|550.0|reputation: newbie; products: 2; stock: 2; priceproduct: 550.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used; totalCategories: 1; regularprice: no; Cluster:2|55|1|"[-0.01738542 -0.00026717 -0.00673836 ...  0.00335597  0.01019431
  0.00934165]"|2
324|324|01eeb63d5c|5|68|31905.71|green_gold|Cross Docking|new|not refubirshed|COMPUTERS & NOTEBOOKS,ACC VEHICULAR MULTIMEDIA|yes,no|469.2|reputation: green_gold; products: 5; stock: 68; priceproduct: 469.2; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes,no; Cluster:1|57|2|"[-0.0179795   0.0018239   0.02049785 ... -0.01071444  0.03687477
  0.00893633]"|1
325|325|01eed0bfff|6|386|5864.33|green_platinum|FulfilledbyMerchant|new|not refubirshed|SPORTS,TOYS AND GAMES,ACC CARS & VANS,HOUSEHOLD APPLIANCES|yes,no|15.19|reputation: green_platinum; products: 6; stock: 386; priceproduct: 15.19; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 4; regularprice: yes,no; Cluster:0|59|4|"[ 0.01260024 -0.01118925  0.00712319 ...  0.00573117  0.0336512
  0.02099787]"|0
326|326|01f1ab52a9|15|6571|5631.0|green_platinum|FulfilledbyMerchant,Cross Docking|new|not refubirshed|STATIONERY,PARTY,HOUSEHOLD ITEMS,BOOKS, MULTIMEDIA & OTHER E!,DECOR,HABERDASHERY|no|0.86|reputation: green_platinum; products: 15; stock: 6571; priceproduct: 0.86; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 7; regularprice: no; Cluster:0|63|7|"[ 0.01236849 -0.00563924  0.00260389 ... -0.00946182  0.02160322
  0.01818183]"|0
327|327|01f6b062cf|2|81|935.3|green|FulfilledbyMerchant|new|not refubirshed|PET|yes|11.55|reputation: green; products: 2; stock: 81; priceproduct: 11.55; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|56|1|"[-0.01316433 -0.00524348  0.01418039 ... -0.00751294  0.01640535
  0.01002714]"|3
328|328|01f7145859|1|22|619.0|green_gold|Cross Docking|new|not refubirshed|APPAREL ACCESSORIES|no|28.14|reputation: green_gold; products: 1; stock: 22; priceproduct: 28.14; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|56|1|"[-0.00756205 -0.00154721  0.0249499  ... -0.0134478   0.03418451
  0.01546086]"|1
329|329|01f7352240|20|6503|74454.79|green_platinum|Other|new|not refubirshed|MATTRESSES & SOMMIER,FURNITURE|yes,no|11.45|reputation: green_platinum; products: 20; stock: 6503; priceproduct: 11.45; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes,no; Cluster:0|57|2|"[ 0.00850264 -0.02404511  0.01852906 ... -0.00457131  0.02808311
  0.01384346]"|0
330|330|01f7c92f21|2|20|1079.0|green|DropShipping|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES,AUDIO & GENERAL ELECTRONICS|no|53.95|reputation: green; products: 2; stock: 20; priceproduct: 53.95; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: no; Cluster:3|54|3|"[ 0.01596921  0.00768288  0.01167886 ... -0.01056028  0.02240104
  0.01164207]"|3
331|331|01f8bef6eb|4|69|1839.0|green_gold|FulfilledbyMerchant,Cross Docking|new|not refubirshed|SMARTPHONES & TABLETS,TOYS AND GAMES,FOODS,WEARABLES|yes,no|26.65|reputation: green_gold; products: 4; stock: 69; priceproduct: 26.65; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 4; regularprice: yes,no; Cluster:3|62|4|"[-0.01105867  0.00054461  0.02673143 ... -0.00887266  0.02780553
  0.01091496]"|3
332|332|01f934ed37|1|0|9289.0|green|DropShipping|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES|no|inf|reputation: green; products: 1; stock: 0; priceproduct: inf; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: no; Cluster:3|51|2|"[ 0.00466488  0.01132184  0.00672144 ... -0.00880667  0.01811494
  0.01827258]"|3
333|333|01fa80f3af|3|10|1205.97|green_gold|DropShipping|new|not refubirshed|HOME OUTDOORS|yes|120.6|reputation: green_gold; products: 3; stock: 10; priceproduct: 120.6; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:3|55|1|"[ 0.00248305  0.00126959  0.02448994 ... -0.00825563  0.04347114
  0.00574451]"|3
334|334|01ff89fac6|5|45|11397.83|green_platinum|FulfilledbyMerchant,Other|new|not refubirshed|HOUSEHOLD ITEMS,FURNITURE,HEALTH,INDUSTRY|yes,no|253.29|reputation: green_platinum; products: 5; stock: 45; priceproduct: 253.29; logistictype: FulfilledbyMerchant,Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 4; regularprice: yes,no; Cluster:0|61|4|"[ 0.00186476 -0.00768358 -0.00234998 ... -0.0074971   0.02574132
  0.01363179]"|0
335|335|0203ab1579|5|5|5760.0|green|Cross Docking|used,new|not refubirshed|BOOKS, MULTIMEDIA & OTHER E!|no|1152.0|reputation: green; products: 5; stock: 5; priceproduct: 1152.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: used,new; totalCategories: 2; regularprice: no; Cluster:1|57|2|"[-0.00999415  0.01245414  0.01388607 ... -0.01157295  0.02404178
  0.01155827]"|1
336|336|020447b2dd|1|2|149.5|green|Cross Docking|new|not refubirshed|SPORTS|no|74.75|reputation: green; products: 1; stock: 2; priceproduct: 74.75; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00507624  0.0081205   0.02054316 ... -0.01373265  0.018861
  0.01621123]"|1
337|337|0207c09015|1|5|985.0|green|Cross Docking|new|not refubirshed|HOUSEHOLD APPLIANCES|no|197.0|reputation: green; products: 1; stock: 5; priceproduct: 197.0; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.01642487  0.01466349  0.01243241 ... -0.00962888  0.01980085
  0.01450937]"|1
338|338|0208fafbe4|1|1|689.99|green|Cross Docking|new|not refubirshed|ACC CARS & VANS|no|689.99|reputation: green; products: 1; stock: 1; priceproduct: 689.99; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00032406  0.01443555  0.01757308 ... -0.01225549  0.02396597
  0.02272863]"|1
339|339|020a6f4e10|1|95|3400.0|green|Cross Docking|new|not refubirshed|SMARTPHONES & TABLETS|no|35.79|reputation: green; products: 1; stock: 95; priceproduct: 35.79; logistictype: Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:1|55|1|"[-0.00541518  0.01114129  0.01267368 ... -0.01346578  0.02325975
  0.01445776]"|1
340|340|020b33c9e5|2|100|548.83|light_green|DropShipping|new|not refubirshed|IT PERIPHERALS, PARTS & ACCESSORIES,SPORTS|no|5.49|reputation: light_green; products: 2; stock: 100; priceproduct: 5.49; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: no; Cluster:3|55|3|"[ 0.01798788 -0.01068427  0.00375041 ... -0.00814173  0.02159391
  0.0256366 ]"|3
341|341|020ee4305e|3|145|537.5|green_gold|FulfilledbyMerchant|new|not refubirshed|APPAREL,SPORTS|yes,no|3.71|reputation: green_gold; products: 3; stock: 145; priceproduct: 3.71; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 2; regularprice: yes,no; Cluster:3|58|2|"[-0.02133691 -0.01258037  0.01800254 ... -0.00365366  0.0346591
  0.01379634]"|3
342|342|02116f7eb0|6|359|1880.37|green_platinum|FulfilledbyMerchant|new|not refubirshed|WEARABLES,SPORTS,SMARTPHONES & TABLETS|yes|5.24|reputation: green_platinum; products: 6; stock: 359; priceproduct: 5.24; logistictype: FulfilledbyMerchant; refurbished: not refubirshed; conditionproduct: new; totalCategories: 3; regularprice: yes; Cluster:0|58|3|"[ 0.00720086 -0.01092283  0.00152202 ...  0.00522594  0.0311126
  0.01509295]"|0
343|343|02123f3e6b|1|4|600.0|newbie|DropShipping|new|not refubirshed|HOUSEHOLD APPLIANCES|no|150.0|reputation: newbie; products: 1; stock: 4; priceproduct: 150.0; logistictype: DropShipping; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: no; Cluster:2|54|1|"[ 0.00176084 -0.00444786 -0.01927043 ...  0.00394398  0.01928493
  0.00951196]"|2
344|344|0212f5b895|18|276|5035.74|green_gold|FulfilledbyMerchant,Cross Docking|new|not refubirshed|CPG PERSONAL CARE,OTHER,HAIR,HOUSEHOLD APPLIANCES,HOME OUTDOORS,MUSICAL INSTRUMENTS,APPAREL,CONSTRUCTION,TOOLS,TOYS AND GAMES,CAMERAS & DRONES,SPORTS,HOUSEHOLD ITEMS,HEALTH|yes|18.25|reputation: green_gold; products: 18; stock: 276; priceproduct: 18.25; logistictype: FulfilledbyMerchant,Cross Docking; refurbished: not refubirshed; conditionproduct: new; totalCategories: 14; regularprice: yes; Cluster:3|61|14|"[-0.01787006 -0.00140715  0.02705115 ... -0.01854673  0.03423302
  0.00711265]"|3
345|345|0215433eea|1|10|17100.0|newbie|Other|new|not refubirshed|TOOLS|yes|1710.0|reputation: newbie; products: 1; stock: 10; priceproduct: 1710.0; logistictype: Other; refurbished: not refubirshed; conditionproduct: new; totalCategories: 1; regularprice: yes; Cluster:2|54|1|"[-0.02890842 -0.01225152 -0.00389269 ...  0.00982856  0.02811849
 -0.00595106]"|2
