,seller_nickname,stock,price,Products,total_amount,Kmeans,AgC
613,03d64e9402,46,2723.0,6,125258.0,0,3
614,03d71a9c2f,11,227.05,1,2497.55,0,3
615,03d876dcd6,4,1100.0,1,4400.0,0,3
616,03da66fa92,1,425.0,1,425.0,0,3
617,03db28fc1f,0,1750.0,1,0.0,0,3
618,03dba42ffc,48,3178.0,4,152544.0,0,3
619,03dc21d9b0,1,99.6,1,99.6,0,3
620,03dd5cae38,10,4719.0,1,47190.0,0,3
621,03dd6fc244,1261,591.0,2,745251.0,0,3
622,03dda4d710,1,246.0,1,246.0,0,3
623,03e09d473a,195,1382.15,2,269519.25,0,3
624,03e550d92e,6,5169.0,2,31014.0,0,3
625,03e574476d,23,89156.0,5,2050588.0,0,3
626,03e62ec4e0,1,1300.0,1,1300.0,0,3
627,03eb0c75d8,2,2150.0,1,4300.0,0,3
628,03eb8a0e2e,1,9450.0,1,9450.0,0,3
629,03f33e1904,15,322.75,2,4841.25,0,3
630,03f49c1665,1,2300.0,1,2300.0,0,3
631,03f6ba525d,1,1159.0,1,1159.0,0,3
632,03f8570dab,1,608.0,1,608.0,0,3
633,03f944c4bb,136,6254.6,5,850625.6000000001,0,3
634,03f964250f,223,150.21,2,33496.83,0,3
635,03fc56156a,10,1851.89,1,18518.9,0,3
636,03fcedcaf7,1,585.0,1,585.0,0,3
637,03ff524414,45,33492.0,21,1507140.0,1,0
638,04017ddfe6,100,1688.0,2,168800.0,0,3
639,0401acf21d,45,1431.01,1,64395.45,0,3
640,04025dccc6,1900,8391.33,4,15943527.0,1,0
641,0402e0a502,1,500.0,1,500.0,0,3
642,0403336807,6496,948.76,5,6163144.96,1,0
643,0404f36040,1,1500.0,1,1500.0,0,3
644,04065cfc5b,3,870.0,1,2610.0,0,3
645,0406e77e47,2013,969.3,2,1951200.9,0,3
646,0408b699a4,24,13652.44,24,327658.56,1,0
647,0409df065d,1,799.0,1,799.0,0,3
648,040b9d11c4,98,491.03,1,48120.939999999995,0,3
649,040cfe7605,1,19990.0,1,19990.0,0,3
650,040d8dc4e0,6,110.0,1,660.0,0,3
651,040f8a57a9,18,7299.0,1,131382.0,0,3
652,0410023bc8,6373,3457.43,6,22034201.39,3,1
653,04107b096d,3,498.0,2,1494.0,0,3
654,04109ec9f6,6,435.0,1,2610.0,0,3
655,0412535802,9,1699.0,1,15291.0,0,3
656,0412a24c23,2300,791.64,2,1820772.0,0,3
657,0417f205f7,32,1060.0,1,33920.0,0,3
658,041ac11336,168,57.42,1,9646.56,0,3
659,041b60c12e,5,89.5,1,447.5,0,3
660,041cfa8a55,11,227.05,1,2497.55,0,3
661,041e703be6,20,250.0,1,5000.0,0,3
